total dirs files folder_names file_names fo_and_fi_names repo_name
8 1.00 0.00 "1.Getting-Started 2.Styling-Your-Site 3.Controling-Sections 4.Setting-Up-Pages 5.Setting-Up-Slideshow 6.Setting-Up-Portfolios 7.Credits images " "" "1.Getting-Started 2.Styling-Your-Site 3.Controling-Sections 4.Setting-Up-Pages 5.Setting-Up-Slideshow 6.Setting-Up-Portfolios 7.Credits images " strikingdoc_striking
4 0.25 0.75 "docs " "LICENSE Readme.rst requirements.txt " "LICENSE Readme.rst docs requirements.txt " Rfam_docs
5 0.20 0.80 "images " "README.md daily_almanac.gs diff.gs writing_stats.gs " "README.md daily_almanac.gs diff.gs images writing_stats.gs " jamietr1_google-docs-writing-tracker
28 0.39 0.61 ".travis dev_ref extension-points getting-started gradle license parameters release-notes resources samples user-guide " ".editorconfig .gitattributes .gitignore .travis.yml CONTRIBUTING.md DITA-OT_docs.xpr LICENSE.md README.md build.gradle build.xml gradlew gradlew.bat index.dita site.ditamap site.gradle userguide-book.ditamap userguide.ditamap " ".editorconfig .gitattributes .gitignore .travis.yml .travis CONTRIBUTING.md DITA-OT_docs.xpr LICENSE.md README.md build.gradle build.xml dev_ref extension-points getting-started gradle gradlew gradlew.bat index.dita license parameters release-notes resources samples site.ditamap site.gradle user-guide userguide-book.ditamap userguide.ditamap " dita-ot_docs
10 0.50 0.50 "examples images js styles templates " ".gitignore README faq.html freedive.html wizard.html " ".gitignore README examples faq.html freedive.html images js styles templates wizard.html " ldegroot_freedive
3 0.00 1.00 "" "README.md meetups-planning.md unnamed-akka-based-MQTT-broker.md " "README.md meetups-planning.md unnamed-akka-based-MQTT-broker.md " hamburg-akka-meetup_docs
18 0.11 0.89 "api images " "LICENSE README.md authentication.md cli.md config-file.md deploy.md docker.md embed.md examples.md faq.md getting-started.md index.md install.md limitations.md permissions.md users.md " "LICENSE README.md api authentication.md cli.md config-file.md deploy.md docker.md embed.md examples.md faq.md getting-started.md images index.md install.md limitations.md permissions.md users.md " rethinkdb_horizon-docs
1 0.00 1.00 "" "README.md " "README.md " huobiapi_API_Docs
15 0.33 0.67 ".github conf doc tools www " ".gitignore CONTRIBUTING.md Gemfile LICENSE Makefile NOTICE README.md VERSION gulpfile.js package.json " ".github .gitignore CONTRIBUTING.md Gemfile LICENSE Makefile NOTICE README.md VERSION conf doc gulpfile.js package.json tools www " apache_cordova-docs
12 0.67 0.33 "I. Overview of Spring Framework II. What’s New in Spring Framework 4.x III. Core Technologies IV. Testing V. Data Access VI. The Web VII. Integration VIII. Appendices " ".gitignore README.md SUMMARY.md logo.jpg " ".gitignore I. Overview of Spring Framework II. What’s New in Spring Framework 4.x III. Core Technologies IV. Testing README.md SUMMARY.md V. Data Access VI. The Web VII. Integration VIII. Appendices logo.jpg " waylau_spring-framework-4-reference
9 0.44 0.56 "_static _templates _themes api " ".gitignore Makefile README.md conf.py index.rst " ".gitignore Makefile README.md _static _templates _themes api conf.py index.rst " zendrive_docs
25 0.60 0.40 "auth drives facets items misc odata resources sdk sharepoint shares site-images snippets templates tests webhooks " ".gitattributes .gitignore CONTRIBUTING.md LICENSE README.md app-registration.md getting-started.md sample-code.md sdks.md terms-of-use.md " ".gitattributes .gitignore CONTRIBUTING.md LICENSE README.md app-registration.md auth drives facets getting-started.md items misc odata resources sample-code.md sdk sdks.md sharepoint shares site-images snippets templates terms-of-use.md tests webhooks " OneDrive_onedrive-api-docs
14 0.43 0.57 "_themes tools trezor-apps trezor-faq trezor-tech trezor-user " ".gitignore Dockerfile LICENSE Makefile README.rst build.sh icon_font_awesome.py index.html " ".gitignore Dockerfile LICENSE Makefile README.rst _themes build.sh icon_font_awesome.py index.html tools trezor-apps trezor-faq trezor-tech trezor-user " satoshilabs_docs
