total dirs files folder_names file_names fo_and_fi_names repo_name
9 0.00 1.00 "" ".DS_Store .gitignore Procfile README.md index.js package.json requestHandlers.js router.js server.js " ".DS_Store .gitignore Procfile README.md index.js package.json requestHandlers.js router.js server.js " rbobbins_olinjs-1-hw
1 0.00 1.00 "" "README.md " "README.md " wanghuabai_homework
14 0.79 0.21 "周末组 成员作业 第x组作业 第x组姜文 第一组 李树鹏 第七组彭洁 第三组尚子琪 第二组 第五组 张友轩 第六组 第四组_陈超 " ".gitignore homework_node7 index.txt " ".gitignore homework_node7 index.txt 周末组 成员作业 第x组作业 第x组姜文 第一组 李树鹏 第七组彭洁 第三组尚子琪 第二组 第五组 张友轩 第六组 第四组_陈超 " zhufengzhufeng_homework_node7
8 0.75 0.25 ".settings website-beans website-bll website-dao website-service website-ui " ".project pom.xml " ".project .settings pom.xml website-beans website-bll website-dao website-service website-ui " liqiangpxzw_homework
4 0.00 1.00 "" ".gitignore app.ts index.html tsconfig.json " ".gitignore app.ts index.html tsconfig.json " happenedFuture_Homework
1 0.00 1.00 "" "README.md " "README.md " jamesnatoli_Homework
11 0.82 0.18 "Bio Deutsch English Ethik Geschichte Latein Mathe Module Physik " ".gitignore quicksort.py " ".gitignore Bio Deutsch English Ethik Geschichte Latein Mathe Module Physik quicksort.py " haansn08_homework
2 0.00 1.00 "" "README.md naive.txt " "README.md naive.txt " teddyljh_Homework
4 1.00 0.00 "1 course, 1 semester 1 course, 2 semester 2 course, 1 semester 2 course, 2 semester " "" "1 course, 1 semester 1 course, 2 semester 2 course, 1 semester 2 course, 2 semester " saimonsaret_Homework
24 0.83 0.17 "Ruby Examples ta-examples tests w1d2 w1d3 w1d4 w1d5 w2d1 w2d2 w3d1 w3d2 w3d3 w3d4 w3d5 w5d2 w5weekend w6d1 w6d4 w6weekend work " ".DS_Store README.md rubocop w1d1Exercises.md " ".DS_Store README.md Ruby Examples rubocop ta-examples tests w1d1Exercises.md w1d2 w1d3 w1d4 w1d5 w2d1 w2d2 w3d1 w3d2 w3d3 w3d4 w3d5 w5d2 w5weekend w6d1 w6d4 w6weekend work " romanchukenator_homework
