total dirs files folder_names file_names fo_and_fi_names repo_name
12 0.08 0.92 "answers " "01 MNIST example.ipynb 02 VGG Fine-tuning.ipynb 03 Writing your own dataset.ipynb 04a Custom Activation Function.ipynb 04b Writing a custom layer.ipynb 05 Model Architectures.ipynb 06 Deep Residual Network.ipynb 07 visualization callback.ipynb 08 Overfitting Tutorial.ipynb LICENSE README.md " "01 MNIST example.ipynb 02 VGG Fine-tuning.ipynb 03 Writing your own dataset.ipynb 04a Custom Activation Function.ipynb 04b Writing a custom layer.ipynb 05 Model Architectures.ipynb 06 Deep Residual Network.ipynb 07 visualization callback.ipynb 08 Overfitting Tutorial.ipynb LICENSE README.md answers " NervanaSystems_neon_course
10 0.40 0.60 ".idea app gradle volley " ".gitignore build.gradle gradle.properties gradlew gradlew.bat settings.gradle " ".gitignore .idea app build.gradle gradle.properties gradle gradlew gradlew.bat settings.gradle volley " francisCN_Course
16 0.56 0.44 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.md README.rdoc Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.md README.rdoc Rakefile app bin config.ru config db lib log public test vendor " wainshain_course
11 0.82 0.18 "Algorthythm BlogerReaderRebuild BuildBlogReader BuildaSimpleiPhoneApp FindTheLargestNumberInAnArray FizzBuzz FunWithDate FuzzBizzNezz ToyotaAreCarToo " "LICENSE README.md " "Algorthythm BlogerReaderRebuild BuildBlogReader BuildaSimpleiPhoneApp FindTheLargestNumberInAnArray FizzBuzz FunWithDate FuzzBizzNezz LICENSE README.md ToyotaAreCarToo " ChrisSuVan_course
3 0.67 0.33 "IA IB " "README.md " "IA IB README.md " PyCav_Course
9 0.67 0.33 ".idea Css Framework Images Scripts Views " ".gitignore README.md favicon.ico " ".gitignore .idea Css Framework Images README.md Scripts Views favicon.ico " CourseTeam_Course
3 0.33 0.67 "2010_02_UFU " ".gitignore README " ".gitignore 2010_02_UFU README " BetterCode_Course
11 0.00 1.00 "" "README.md lesson 1 - install Python with Anaconda.ipynb lesson 2 - first vk api script in Python.ipynb lesson 3 - how to get information about vk users .ipynb lesson 4 - how to get information about 100 posts.ipynb lesson 5 - get all posts in club vk.ipynb lesson 6 - every minute statistics collection group.ipynb lesson 7 - Analysis of audience groups, site retargeting database VKontakte.ipynb lesson 8 - Open Close comments VKontakte timer.ipynb lesson-10.ipynb lesson-9.ipynb " "README.md lesson 1 - install Python with Anaconda.ipynb lesson 2 - first vk api script in Python.ipynb lesson 3 - how to get information about vk users .ipynb lesson 4 - how to get information about 100 posts.ipynb lesson 5 - get all posts in club vk.ipynb lesson 6 - every minute statistics collection group.ipynb lesson 7 - Analysis of audience groups, site retargeting database VKontakte.ipynb lesson 8 - Open Close comments VKontakte timer.ipynb lesson-10.ipynb lesson-9.ipynb " kepatopoc_vkapi-course
4 0.00 1.00 "" ".gitignore README.md run_analysis.R tidy.txt " ".gitignore README.md run_analysis.R tidy.txt " testcourse_course
5 0.80 0.20 "Custom_Design Wireless_Motion_Sensor Wireless_Relay Wireless_Temperature_Sensor " "README.md " "Custom_Design README.md Wireless_Motion_Sensor Wireless_Relay Wireless_Temperature_Sensor " openhomeautomation_course
21 0.86 0.14 "Backbone Dart angular codecademy codeschool crossxml eloquentjs go grunt java jquery nodejs pdf polymer shell stackfw treehouse yeoman " ".gitignore Bookmarks.md README.md " ".gitignore Backbone Bookmarks.md Dart README.md angular codecademy codeschool crossxml eloquentjs go grunt java jquery nodejs pdf polymer shell stackfw treehouse yeoman " judearasu_Coursez
3 0.00 1.00 "" "README.md soep.txt spaghetti.txt " "README.md soep.txt spaghetti.txt " nickpersyn_course
8 0.25 0.75 "lib test " ".gitignore README.md explicit.c implicit.c mpiversion plotter.py " ".gitignore README.md explicit.c implicit.c lib mpiversion plotter.py test " druha95_course
1 0.00 1.00 "" "README.md " "README.md " LVLVLVDAN_Course
