all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
24.00 0.25 0.75 0.21 0.79 91.00 0.28 5.00 0.00 0.15 jhu-ep-coursera_fullstack-course1-module3
4.00 0.75 0.25 0.00 1.00 289.46 0.11 1.00 0.00 0.08 rajeshsubramanian_datasciencecoursera
76.00 0.07 0.93 0.43 0.57 140.64 0.17 9.00 0.00 0.08 LyndonChin_MasteringAndroidDataBinding
83.00 0.12 0.88 0.52 0.48 120.60 0.20 19.00 0.00 0.07 Quartz_bad-data-guide
3.00 1.00 0.00 0.67 0.33 1.11 3.00 1.00 0.00 1.00 zhouxc_Stanford-Machine-Learning-Course
894.00 0.21 0.79 0.46 0.54 27.94 0.86 68.00 0.00 0.31 swirldev_swirl_courses
229.00 0.22 0.78 0.11 0.89 40.21 0.60 2.00 0.00 0.13 rjurney_Agile_Data_Code
19.00 0.89 0.11 0.11 0.89 2037.15 0.01 2.00 0.00 0.00 paramaggarwal_course
883.00 0.12 0.88 0.09 0.91 51.34 0.47 37.00 0.00 0.10 tonymorris_course
22.00 0.23 0.77 0.27 0.73 171.81 0.15 5.00 0.00 0.09 berkeley-cs186_course
57.00 0.07 0.93 0.56 0.44 103.63 0.24 4.00 0.00 0.12 learnbyexample_scripting_course
97.00 0.38 0.62 0.69 0.31 313.04 0.08 2.00 0.00 0.02 alonho_course
155.00 0.38 0.62 0.60 0.40 121.69 0.20 1.00 0.00 0.05 ujjwalkarn_DataScienceR
34.00 0.15 0.85 0.26 0.74 146.06 0.17 2.00 0.00 0.08 dgpdec_course
144.00 0.06 0.94 0.39 0.61 42.83 0.56 4.00 0.00 0.16 CSC-326_Course
56.00 0.07 0.93 0.23 0.77 1.90 12.88 1.00 0.00 1.00 ben519_DataWrangling
29.00 0.28 0.72 0.41 0.59 235.91 0.11 1.00 0.00 0.05 itweet_course
41.00 0.02 0.98 0.73 0.27 34.68 0.71 1.00 0.00 0.28 pynxton_course
117.00 0.34 0.66 0.57 0.43 140.53 0.17 1.00 0.00 0.14 algorithmica-repository_datascience
17.00 0.00 1.00 0.12 0.88 113.65 0.22 4.00 0.00 0.04 EricSimons_ionic-course
80.00 0.11 0.89 0.20 0.80 329.23 0.07 7.00 0.00 0.02 uwescience_datasci_course_materials
2.00 1.00 0.00 1.00 0.00 0.02 2.00 2.00 0.00 1.00 openhomeautomation_course
44.00 0.36 0.64 0.50 0.50 296.69 0.08 9.00 0.00 0.04 jhu-ep-coursera_fullstack-course1-module2
134.00 0.19 0.81 0.51 0.49 70.12 0.34 7.00 0.00 0.12 teachbsd_course
103.00 0.38 0.62 0.65 0.35 25.81 0.94 1.00 0.00 0.17 elm-city-craftworks_course-001
