all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
1134.00 0.40 0.60 0.25 0.75 38.13 0.63 135.00 0.00 0.23 railsbridge-boston_docs
179.00 0.20 0.80 0.53 0.47 49.83 0.48 24.00 0.00 0.28 avajs_ava-docs
5682.00 0.02 0.98 0.49 0.51 3.60 6.68 183.00 0.00 0.65 CenturyLinkCloud_PublicKB
152.00 0.14 0.86 0.49 0.51 193.50 0.12 15.00 0.00 0.07 autopkg_arubdesu-recipes
163.00 0.14 0.86 0.24 0.76 92.42 0.26 30.00 0.00 0.10 MinecraftForge_Documentation
1888.00 0.34 0.66 0.30 0.70 31.46 0.76 130.00 0.00 0.23 ensime_ensime
435.00 0.11 0.89 0.35 0.65 50.70 0.47 35.00 0.00 0.19 smart-on-fhir_smart-on-fhir
23.00 0.00 1.00 1.00 0.00 565.11 0.04 3.00 0.00 0.04 Parrot-Developers_Docs
270.00 0.27 0.73 0.63 0.37 34.35 0.70 32.00 0.00 0.25 adonisjs_docs
83.00 0.06 0.94 0.23 0.77 124.38 0.20 17.00 0.00 0.12 openbmc_docs
4680.00 0.05 0.95 0.54 0.46 4.57 5.26 229.00 0.00 0.76 linode_docs
107.00 0.00 1.00 0.63 0.37 48.35 0.50 2.00 0.00 0.04 pholcus_docs
2629.00 0.07 0.93 0.55 0.45 9.02 2.66 254.00 0.00 0.38 opendaylight_docs
94.00 0.24 0.76 0.17 0.83 98.98 0.25 13.00 0.00 0.11 nodejs_docs
1115.00 0.07 0.93 0.66 0.34 32.12 0.75 24.00 0.00 0.23 stardog-union_stardog-docs
48.00 0.42 0.58 0.31 0.69 434.39 0.06 6.00 0.00 0.03 gpmgo_docs
22.00 0.14 0.86 0.27 0.73 316.25 0.08 2.00 0.00 0.05 alibaba_RocketMQ-docs
753.00 0.09 0.91 0.29 0.71 28.17 0.85 55.00 0.00 0.28 stellar_docs
20.00 0.05 0.95 0.20 0.80 605.61 0.04 4.00 0.00 0.03 jmpressjs_docs
95.00 0.05 0.95 0.45 0.55 320.87 0.08 8.00 0.00 0.03 Giphy_GiphyAPI
188.00 0.38 0.62 0.42 0.58 90.31 0.27 26.00 0.00 0.15 ramda_ramda
1402.00 0.13 0.87 0.51 0.49 24.01 1.00 36.00 0.00 0.32 rockettheme_docs
1442.00 0.07 0.93 0.66 0.34 33.66 0.71 132.00 0.00 0.23 wildfly_quickstart
305.00 0.32 0.68 0.31 0.69 78.65 0.31 10.00 0.00 0.07 webmagic-io_docs
40.00 0.20 0.80 0.28 0.72 255.26 0.10 5.00 0.00 0.03 peachdocs_docs
65.00 0.14 0.86 0.52 0.48 11.82 2.06 2.00 0.00 0.41 mb2o_docs
1.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 1.00 elixir-lang_docs
121.00 0.25 0.75 0.31 0.69 73.42 0.33 14.00 0.00 0.17 datproject_docs
3120.00 0.20 0.80 0.57 0.43 7.15 3.36 45.00 0.00 0.53 GluuFederation_docs
4311.00 0.02 0.98 0.56 0.44 2.92 8.22 129.00 0.00 0.63 IBM-Bluemix_docs
66.00 0.41 0.59 0.35 0.65 167.88 0.15 9.00 0.00 0.10 lisposter_gulp-docs-zh-cn
215.00 0.03 0.97 0.36 0.64 22.61 1.07 8.00 0.00 0.27 sendcloud2013_sendcloud_docs
2279.00 0.07 0.93 0.24 0.76 11.75 2.04 111.00 0.00 0.54 rethinkdb_docs
34.00 0.06 0.94 0.35 0.65 318.29 0.08 2.00 0.00 0.02 freedocs_docs
62.00 0.06 0.94 0.26 0.74 27.70 0.88 12.00 0.00 0.21 SkylinesModding_Docs
1085.00 0.21 0.79 0.71 0.29 13.79 1.74 21.00 0.00 0.20 pagelines_Docs
118.00 0.43 0.57 0.47 0.53 75.07 0.32 11.00 0.00 0.10 makerdao_docs
261.00 0.09 0.91 0.13 0.87 57.99 0.42 84.00 0.00 0.06 hshackers_docs
